Professor Name,Professor Link,Research Interests,Paper Name,Description
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Finding frequent items in data streams,"We present a 1-pass algorithm for estimating the most frequent items in a data stream using very limited storage space. Our method relies on a novel data structure called a count sketch, which allows us to estimate the frequencies of all the items in the stream. Our algorithm achieves better space bounds than the previous best known algorithms for this problem for many natural distributions on the item frequencies. In addition, our algorithm leads directly to a 2-pass algorithm for the problem of estimating the items with the largest (absolute) change in frequency between two data streams. To our knowledge, this problem has not been previously studied in the literature."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",The LCA problem revisited,"We present a very simple algorithm for the Least Common Ancestors problem. We thus dispel the frequently held notion that optimal LCA computation is unwieldy and unimplementable. Interestingly, this algorithm is a sequentialization of a previously known PRAM algorithm."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Optimal suffix tree construction with large alphabets,Description not available
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Finding frequent items in data streams,Description not available
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",NOTUNG: a program for dating gene duplications and optimizing gene family trees,"Large scale gene duplication is a major force driving the evolution of genetic functional innovation. Whole genome duplications are widely believed to have played an important role in the evolution of the maize, yeast, and vertebrate genomes. The use of evolutionary trees to analyze the history of gene duplication and estimate duplication times provides a powerful tool for studying this process. Many studies in the molecular evolution literature have used this approach on small data sets, using analyses performed by hand. The rapid growth of genetic sequence data will soon allow similar studies on a genomic scale, but such studies will be limited unless the analysis can be automated. Even existing data sets admit alternative hypotheses that would be too tedious to consider without automation. In this paper, we describe a program called NOTUNG that facilitates large scale analysis, using both …"
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Lowest common ancestors in trees and directed acyclic graphs,Description not available
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Let sleeping files lie: Pattern matching in Z-compressed files,Description not available
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Don't thrash: How to cache your hash on flash,"Many large storage systems use approximatemembership-query (AMQ) data structures to deal with the massive amounts of data that they process. An AMQ data structure is a dictionary that trades off space for a false positive rate on membership queries. It is designed to fit into small, fast storage, and it is used to avoid I/Os on slow storage. The Bloom filter is a well-known example of an AMQ data structure. Bloom filters, however, do not scale outside of main memory. This paper describes the Cascade Filter, an AMQ data structure that scales beyond main memory, supporting over half a million insertions/deletions per second and over 500 lookups per second on a commodity flashbased SSD."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",On the sorting-complexity of suffix tree construction,"The suffix tree of a string is the fundamental data structure of combinatorial pattern matching. We present a recursive technique for building suffix trees that yields optimal algorithms in different computational models. Sorting is an inherent bottleneck in building suffix trees and our algorithms match the sorting lower bound. Specifically, we present the following results. (1) Weiner [1973], who introduced the data structure, gave an optimal 0(n)-time algorithm for building the suffix tree of an n-character string drawn from a constant-size alphabet. In the comparison model, there is a trivial Ο(n log n)-time lower bound based on sorting, and Weiner's algorithm matches this bound. For integer alphabets, the fastest known algorithm is the O(n log n)time comparison-based algorithm, but no super-linear lower bound is known. Closing this gap is the main open question in stringology. We settle this open problem by giving a …"
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",String matching in Lempel-Ziv compressed strings,"String matching and Compression are two widely studied areas of computer science. The theory of string matching has a long association with compression algorithms. Data structures from string matching can be used to derive fast implementations of many important compression schemes, most notably the Lempel-Ziv(LZ1) algorithm. Intuitively, once a string has been compressed–and therefore its repetitive nature has been elucidated—one might be tempted to exploit this knowledge to speed up string matching. The Compressed Matching Problem is that of performing string matching in a compressed text, without uncompressing it. More formally, let ‘T be a text, let Z be the compressed string representing T, and let ‘P be a pattern. The Compressed Matching Problem is that of deciding if P occurs in T, given only P and Z. Compressed matching algorithms have been given for several compression schemes, such as …"
